sample start (ns), sample end (ns), package-0 (J), core (J), dram (J), amdgpu-pci-0300#power1_average (W), integrated amdgpu-pci-0300#power1_average (J),
1704475979632733601, 1704475979733154895, 0.558348, 0.209777, 0.108337, 6.000000, 0.600000, 
1704475979733154895, 1704475979833491825, 0.561705, 0.207275, 0.109375, 6.000000, 0.600000, 
1704475979833491825, 1704475979932726879, 0.540709, 0.195251, 0.102111, 6.000000, 0.600000, 
1704475979932726879, 1704475980032961779, 0.944028, 0.594603, 0.127563, 7.000000, 0.700000, 
1704475980032961779, 1704475980133302661, 0.760985, 0.405028, 0.110901, 6.000000, 0.600000, 
1704475980133302661, 1704475980233592086, 0.552000, 0.203185, 0.107666, 6.000000, 0.600000, 
1704475980233592086, 1704475980333043477, 0.548583, 0.201599, 0.107971, 6.000000, 0.600000, 
1704475980333043477, 1704475980433454162, 0.577574, 0.223754, 0.106201, 6.000000, 0.600000, 
1704475980433454162, 1704475980532700830, 0.538817, 0.193420, 0.103515, 6.000000, 0.600000, 
1704475980532700830, 1704475980633064385, 0.547850, 0.198425, 0.107483, 6.000000, 0.600000, 
1704475980633064385, 1704475980733492914, 0.546019, 0.190795, 0.104675, 6.000000, 0.600000, 
1704475980733492914, 1704475980832775704, 0.556945, 0.211304, 0.107665, 6.000000, 0.600000, 
1704475980832775704, 1704475980933098705, 0.565672, 0.215758, 0.107910, 6.000000, 0.600000, 
1704475980933098705, 1704475981033491918, 0.570006, 0.215820, 0.105286, 6.000000, 0.600000, 
1704475981033491918, 1704475981132769328, 0.546568, 0.200988, 0.105712, 6.000000, 0.600000, 
1704475981132769328, 1704475981233152689, 0.541442, 0.191833, 0.105591, 6.000000, 0.600000, 
1704475981233152689, 1704475981333530397, 0.550902, 0.196777, 0.107116, 6.000000, 0.600000, 
1704475981333530397, 1704475981432721478, 0.627684, 0.281738, 0.114197, 6.000000, 0.600000, 
1704475981432721478, 1704475981533139817, 0.540465, 0.190490, 0.105468, 6.000000, 0.600000, 
1704475981533139817, 1704475981633565424, 0.542174, 0.187255, 0.103760, 6.000000, 0.600000, 
1704475981633565424, 1704475981732968683, 0.555113, 0.209412, 0.106078, 6.000000, 0.600000, 
1704475981732968683, 1704475981833360901, 0.540038, 0.190185, 0.104675, 6.000000, 0.600000, 
1704475981833360901, 1704475981933724190, 0.554930, 0.200805, 0.104920, 6.000000, 0.600000, 
1704475981933724190, 1704475982033112359, 0.573790, 0.227416, 0.107604, 6.000000, 0.600000, 
1704475982033112359, 1704475982133493042, 0.548888, 0.194824, 0.107056, 6.000000, 0.600000, 
1704475982133493042, 1704475982232691871, 0.561461, 0.216369, 0.105041, 6.000000, 0.600000, 
1704475982232691871, 1704475982333033402, 0.544798, 0.194580, 0.107971, 6.000000, 0.600000, 
1704475982333033402, 1704475982433353499, 0.563353, 0.214049, 0.107910, 6.000000, 0.600000, 
1704475982433353499, 1704475982533758220, 0.546446, 0.192566, 0.105346, 6.000000, 0.600000, 
1704475982533758220, 1704475982633081602, 0.545470, 0.200072, 0.105835, 6.000000, 0.600000, 
1704475982633081602, 1704475982733453865, 0.548522, 0.193787, 0.104919, 6.000000, 0.600000, 
1704475982733453865, 1704475982832710910, 0.543272, 0.196837, 0.105224, 6.000000, 0.600000, 
1704475982832710910, 1704475982933109398, 0.556334, 0.207641, 0.109070, 6.000000, 0.600000, 
1704475982933109398, 1704475983033425931, 0.570189, 0.215576, 0.105774, 6.000000, 0.600000, 
1704475983033425931, 1704475983132736109, 0.562377, 0.216247, 0.107177, 6.000000, 0.600000, 
1704475983132736109, 1704475983233111197, 0.548338, 0.199585, 0.109192, 6.000000, 0.600000, 
1704475983233111197, 1704475983333493890, 0.655394, 0.301451, 0.113525, 6.000000, 0.600000, 
1704475983333493890, 1704475983432673070, 0.595824, 0.249817, 0.104370, 6.000000, 0.600000, 
1704475983432673070, 1704475983532999024, 0.554625, 0.204345, 0.106628, 6.000000, 0.600000, 
1704475983532999024, 1704475983633420543, 0.539183, 0.184814, 0.106872, 6.000000, 0.600000, 
1704475983633420543, 1704475983732659992, 0.554808, 0.209289, 0.104736, 6.000000, 0.600000, 
1704475983732659992, 1704475983833066501, 0.551879, 0.202026, 0.104980, 6.000000, 0.600000, 
1704475983833066501, 1704475983933429317, 0.553587, 0.199218, 0.106751, 6.000000, 0.600000, 
1704475983933429317, 1704475984032723849, 0.564085, 0.218749, 0.106139, 6.000000, 0.600000, 
1704475984032723849, 1704475984133062013, 0.548400, 0.198303, 0.105530, 6.000000, 0.600000, 
